psu,finwgt,stratum,Qn1,Qn2,Qn3,ECIGT,ECIGAR,ESLT,EELCIGT,EROLLCIGTS,EFLAVCIGTS,EBIDIS,EFLAVCIGAR,EHOOKAH,EPIPE,ESNUS,EDISSOLV,CCIGT,CCIGAR,CSLT,CELCIGT,CROLLCIGTS,CFLAVCIGTS,CBIDIS,CHOOKAH,CPIPE,CSNUS,CDISSOLV
015438,766.300647213,BR3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.300647213,BR3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,816.730208551,BR3,5,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,259.321891877,BR3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,711.816138456,BR3,6,1,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
015438,766.300647213,BR3,5,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2
015438,766.300647213,BR3,4,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
015438,766.300647213,BR3,4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
015438,766.300647213,BR3,4,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2
015438,711.816138456,BR3,5,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
015438,766.300647213,BR3,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1219.345113239,BR3,7,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,743.138577867,BR3,NA,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,620.064516482,BR3,3,2,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,741.858935521,BR3,4,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,3,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
015438,664.524672857,BR3,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,994.753820048,BR3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,994.753820048,BR3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,7,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1219.345113239,BR3,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,5,1,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,994.753820048,BR3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,5,1,3,1,NA,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,994.753820048,BR3,5,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,994.753820048,BR3,6,NA,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA
015438,994.753820048,BR3,6,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,3,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,4,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,1196.56306596,BR3,6,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,620.064516482,BR3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,5,2,1,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2
015438,600.20965898,BR3,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
015438,620.064516482,BR3,4,2,1,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,4,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,5,1,1,1,1,NA,NA,1,2,2,2,2,2,2,2,1,NA,NA,NA,1,2,2,2,2,2,2
015438,766.39953268,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,3,1,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,2,2
015438,664.524672857,BR3,3,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA
015438,741.858935521,BR3,4,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2
015438,620.064516482,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,821.352270923,BR3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,597.418745199,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,4,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,766.39953268,BR3,3,1,1,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
015438,664.524672857,BR3,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
